question_id,content,order
1,ア：カスタマイゼーション　　イ：環境　　ウ：直感的　　エ：ミス,1
1,ア：ノーマライゼーション　　イ：制度　　ウ：直感的　　エ：長時間利用,2
1,ア：ノーマライゼーション　　イ：環境　　ウ：直感的　　エ：ミス,3
1,ア：カスタマイゼーション　　イ：制度　　ウ：論理的　　エ：長時間利用,4
1,ア：ノーマライゼーション　　イ：環境　　ウ：論理的　　エ：長時間利用,5
2,ウ → イ → エ → ア,1
2,ア → ウ → イ → エ,2
2,ア → イ → ウ → エ,3
2,ウ → ア → イ → エ,4
2,ア → ウ → エ → イ,5
3,ア：正　　イ：正　　ウ：正　　エ：誤　　オ：誤,1
3,ア：誤　　イ：正　　ウ：正　　エ：正　　オ：誤,2
3,ア：誤　　イ：誤　　ウ：正　　エ：正　　オ：正,3
3,ア：正　　イ：誤　　ウ：誤　　エ：正　　オ：正,4
3,ア：正　　イ：正　　ウ：誤　　エ：誤　　オ：正,5
4,"\( x_1 = 0, x_2 = 5, -1 \leq \Delta c \leq \frac{5}{2} \)",1
4,"\( x_1 = 6, x_2 = 3, \Delta c \leq -1 \) または \( \frac{5}{2} \leq \Delta c \)",2
4,"\( x_1 = 6, x_2 = 3, -1 \leq \Delta c \leq 1 \)",3
4,"\( x_1 = 0, x_2 = 5, \Delta c \leq -1 \) または \( \frac{5}{2} \leq \Delta c \)",4
4,"\( x_1 = 6, x_2 = 3, -1 \leq \Delta c \leq \frac{5}{2} \)",5
5,ア：正　　イ：正　　ウ：誤　　エ：誤　　オ：誤,1
5,ア：誤　　イ：正　　ウ：正　　エ：誤　　オ：誤,2
5,ア：誤　　イ：誤　　ウ：正　　エ：正　　オ：誤,3
5,ア：誤　　イ：誤　　ウ：誤　　エ：正　　オ：正,4
5,ア：正　　イ：誤　　ウ：誤　　エ：誤　　オ：正,5
6,2,1
6,3,2
6,4,3
6,5,4
6,nに依らずシステムの信頼度は0.94未満であり、最小値は存在しない。,5
7,復号化によって元の情報を完全に復元でき、情報の欠落がない圧縮は可逆圧縮と呼ばれ、テキストデータ等の圧縮に使われることが多い。,1
7,復号化によって元の情報には完全には戻らず、情報の欠落を伴う圧縮は非可逆圧縮と呼ばれ、音声や映像等の圧縮に使われることが多い。,2
7,静止画に対する代表的な圧縮方式としてJPEGがあり、動画に対する代表的な圧縮方式としてMPEGがある。,3
7,データ圧縮では、情報源に関する知識（記号の生起確率など）が必要であり、情報源の知識が無い場合にはデータ圧縮することはできない。,4
7,可逆圧縮には限界があり、どのような方式であっても、その限界を超えて圧縮することはできない。,5
8,"\( f(x, y, z) = xy + z \)",1
8,"\( f(x, y, z) = \overline{x}y + \overline{yz} \)",2
8,"\( f(x, y, z) = xy + \overline{y}z \)",3
8,"\( f(x, y, z) = xy + \overline{xy} \)",4
8,"\( f(x, y, z) = xy + \overline{x}z \)",5
9,メール中のオンラインストレージのURLリンクを使用したファイルの受信は、正規のサービスかどうかを確認し、メールゲートウェイで検知する。,1
9,標的型攻撃への対策は、複数の対策を多層的に組合せて防御する。,2
9,あらかじめ組織内に連絡すべき窓口を設け、利用者が標的型攻撃メールを受信した際の連絡先として周知させる。,3
9,あらかじめシステムや実行ポリシーで、利用者の環境で実行可能なファイルを制限しておく。,4
9,擬似的な標的型攻撃メールを利用者に送信し、その対応を調査する訓練を定期的に実施する。,5
10,ア：\( (000110)_{2} \)　　イ：\( (000101)_{2} \),1
10,ア：\( (011010)_{2} \)　　イ：\( (011001)_{2} \),2
10,ア：\( (000111)_{2} \)　　イ：\( (000110)_{2} \),3
10,ア：\( (011001)_{2} \)　　イ：\( (011010)_{2} \),4
10,ア：\( (011000)_{2} \)　　イ：\( (011001)_{2} \),5
